Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","3.04","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","3.13","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","3.32","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","3.4","E"
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","3.55","E"
"3","'008","Albania","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.6","E"
"3","'008","Albania","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.48","E"
"3","'008","Albania","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","1.2","E"
"3","'008","Albania","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","1.15","E"
"3","'008","Albania","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.44","E"
"3","'008","Albania","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.42","E"
"3","'008","Albania","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.71","E"
"3","'008","Albania","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.61","E"
"3","'008","Albania","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.91","E"
"3","'008","Albania","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","0.78","E"
"3","'008","Albania","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.09","E"
"3","'008","Albania","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.11","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","24.3","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","17.5","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","15.3","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","14.1","E"
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2021","2021","%","12.6","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2017","2017","million No","0.7","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2018","2018","million No","0.5","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2019","2019","million No","0.4","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2020","2020","million No","0.4","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","2021","2021","million No","0.4","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2017","2017","PPP dollar per person per day","4.06","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2018","2018","PPP dollar per person per day","4.13","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2019","2019","PPP dollar per person per day","4.1","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2020","2020","PPP dollar per person per day","4.06","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","2021","2021","PPP dollar per person per day","4.36","E"
"4","'012","Algeria","7007","Cost of starchy staples","6226","Value","2017","2017","PPP dollar per person per day","0.5","E"
"4","'012","Algeria","7007","Cost of starchy staples","6226","Value","2021","2021","PPP dollar per person per day","0.54","E"
"4","'012","Algeria","7008","Cost of animal source foods","6226","Value","2017","2017","PPP dollar per person per day","0.96","E"
"4","'012","Algeria","7008","Cost of animal source foods","6226","Value","2021","2021","PPP dollar per person per day","1.33","E"
"4","'012","Algeria","7009","Cost of legumes, nuts and seeds","6226","Value","2017","2017","PPP dollar per person per day","0.49","E"
"4","'012","Algeria","7009","Cost of legumes, nuts and seeds","6226","Value","2021","2021","PPP dollar per person per day","0.57","E"
"4","'012","Algeria","7010","Cost of vegetables","6226","Value","2017","2017","PPP dollar per person per day","0.7","E"
"4","'012","Algeria","7010","Cost of vegetables","6226","Value","2021","2021","PPP dollar per person per day","0.7","E"
"4","'012","Algeria","7011","Cost of fruits","6226","Value","2017","2017","PPP dollar per person per day","0.98","E"
"4","'012","Algeria","7011","Cost of fruits","6226","Value","2021","2021","PPP dollar per person per day","1.07","E"
"4","'012","Algeria","7012","Cost of oils and fats","6226","Value","2017","2017","PPP dollar per person per day","0.13","E"
"4","'012","Algeria","7012","Cost of oils and fats","6226","Value","2021","2021","PPP dollar per person per day","0.15","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2017","2017","%","17.8","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2018","2018","%","17","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2019","2019","%","16.4","E"
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","2020","2020","%","18.3","E"
