Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","4.06","E","4.13","E","4.1","E","4.06","E","4.36","E","4.89","E"
"4","'012","Algeria","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.5","E",,,,,,,"0.54","E",,
"4","'012","Algeria","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.96","E",,,,,,,"1.33","E",,
"4","'012","Algeria","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.49","E",,,,,,,"0.57","E",,
"4","'012","Algeria","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.7","E",,,,,,,"0.7","E",,
"4","'012","Algeria","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.98","E",,,,,,,"1.07","E",,
"4","'012","Algeria","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.15","E",,
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","17.8","E","17","E","16.4","E","18.3","E","18.7","E","19.7","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","7.3","E","7.1","E","7","E","7.9","E","8.3","E","8.8","E"
"7","'024","Angola","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.44","E","3.41","E","3.46","E","3.65","E","4","E","4.41","E"
"7","'024","Angola","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.84","E",,,,,,,"1.12","E",,
"7","'024","Angola","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.01","E",,,,,,,"1.12","E",,
"7","'024","Angola","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.39","E",,,,,,,"0.41","E",,
"7","'024","Angola","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.2","E",,,,,,,"0.43","E",,
"7","'024","Angola","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.72","E",,,,,,,"0.73","E",,
"7","'024","Angola","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.17","E",,,,,,,"0.2","E",,
"7","'024","Angola","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","62.7","E","65.1","E","66.8","E","70.1","E","71.7","E","72.2","E"
"7","'024","Angola","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","18.9","E","20.4","E","21.6","E","23.4","E","24.7","E","25.7","E"
"53","'204","Benin","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.84","E","2.94","E","2.93","E","2.97","E","3.23","E","3.42","E"
"53","'204","Benin","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.41","E",,,,,,,"0.61","E",,
"53","'204","Benin","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.17","E",,,,,,,"1.15","E",,
"53","'204","Benin","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.3","E",,,,,,,"0.31","E",,
"53","'204","Benin","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","1.01","E",,,,,,,"0.6","E",,
"53","'204","Benin","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.54","E",,,,,,,"0.38","E",,
"53","'204","Benin","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.19","E",,
"53","'204","Benin","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","78.5","E","69.9","E","63.2","E","61.6","E","60.2","E","56.8","E"
"53","'204","Benin","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","9.1","E","8.3","E","7.8","E","7.8","E","7.8","E","7.6","E"
"20","'072","Botswana","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.13","E","3.09","E","3.1","E","3.2","E","3.31","E","3.56","E"
"20","'072","Botswana","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.39","E",,,,,,,"0.55","E",,
"20","'072","Botswana","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.1","E",,,,,,,"1.16","E",,
"20","'072","Botswana","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.4","E",,,,,,,"0.46","E",,
