Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"1","'051","Armenia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.21","E","3.28","E","3.36","E","3.37","E","3.66","E","4.11","E"
"1","'051","Armenia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.54","E",,,,,,,"0.57","E",,
"1","'051","Armenia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.97","E",,,,,,,"1","E",,
"1","'051","Armenia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.54","E",,,,,,,"0.39","E",,
"1","'051","Armenia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.43","E",,,,,,,"0.58","E",,
"1","'051","Armenia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.49","E",,,,,,,"0.88","E",,
"1","'051","Armenia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.12","E",,,,,,,"0.24","E",,
"1","'051","Armenia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","49.3","E","49.5","E","53.3","E","53.8","E","54.1","E","54.9","E"
"1","'051","Armenia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","1.4","E","1.4","E","1.5","E","1.5","E","1.5","E","1.5","E"
"52","'031","Azerbaijan","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.87","E","2.93","E","3","E","3.09","E","3.28","E","3.74","E"
"52","'031","Azerbaijan","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.45","E",,,,,,,"0.65","E",,
"52","'031","Azerbaijan","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.73","E",,,,,,,"1.04","E",,
"52","'031","Azerbaijan","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.46","E",,,,,,,"0.35","E",,
"52","'031","Azerbaijan","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.32","E",,,,,,,"0.44","E",,
"52","'031","Azerbaijan","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.26","E",,,,,,,"0.63","E",,
"52","'031","Azerbaijan","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.13","E",,,,,,,"0.18","E",,
