Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"10","'036","Australia","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.33","E","2.36","E","2.4","E","2.51","E","2.58","E","2.9","E"
"10","'036","Australia","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.22","E",,,,,,,"0.25","E",,
"10","'036","Australia","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.46","E",,,,,,,"0.49","E",,
"10","'036","Australia","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.25","E",,,,,,,"0.27","E",,
"10","'036","Australia","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.6","E",,,,,,,"0.72","E",,
"10","'036","Australia","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.67","E",,,,,,,"0.77","E",,
"10","'036","Australia","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.07","E",,,,,,,"0.08","E",,
"10","'036","Australia","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","2.9","E","3.2","E","3.2","E","3.5","E","3.2","E","3.2","E"
"10","'036","Australia","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.7","E","0.8","E","0.8","E","0.9","E","0.8","E","0.8","E"
"66","'242","Fiji","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.24","E","3.3","E","3.46","E","3.51","E","3.91","E","4.28","E"
"66","'242","Fiji","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.52","E",,,,,,,"0.55","E",,
"66","'242","Fiji","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1","E",,,,,,,"1.12","E",,
"66","'242","Fiji","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.2","E",,,,,,,"0.33","E",,
"66","'242","Fiji","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.8","E",,,,,,,"1.01","E",,
"66","'242","Fiji","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.91","E",,,,,,,"0.7","E",,
"66","'242","Fiji","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.19","E",,,,,,,"0.19","E",,
"66","'242","Fiji","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","45.8","E","47.4","E","52.6","E","62.5","E","66.8","E","59","E"
"66","'242","Fiji","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.4","E","0.4","E","0.5","E","0.6","E","0.6","E","0.5","E"
"156","'554","New Zealand","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","2.65","E","2.57","E","2.7","E","2.83","E","2.86","E","3.21","E"
"156","'554","New Zealand","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.31","E",,,,,,,"0.33","E",,
"156","'554","New Zealand","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.74","E",,,,,,,"0.69","E",,
"156","'554","New Zealand","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.3","E",,,,,,,"0.31","E",,
"156","'554","New Zealand","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.6","E",,,,,,,"0.61","E",,
"156","'554","New Zealand","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.66","E",,,,,,,"0.86","E",,
"156","'554","New Zealand","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.06","E",,,,,,,"0.06","E",,
"156","'554","New Zealand","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%",,"O",,"O",,"O",,"O",,"O",,"O"
"156","'554","New Zealand","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No",,"O",,"O",,"O",,"O",,"O",,"O"
